id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
391,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,1,ORANG,2021
392,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,3,ORANG,2021
393,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1,ORANG,2021
394,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,3,ORANG,2021
395,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,3,ORANG,2021
396,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,7,ORANG,2021
397,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,3,ORANG,2021
398,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,2,ORANG,2021
399,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,10,ORANG,2021
400,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,5,ORANG,2021
401,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1,ORANG,2021
402,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,3,ORANG,2021
403,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,2,ORANG,2021
404,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,5,ORANG,2021
405,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,ORANG,2021
406,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,ORANG,2021
407,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,4,ORANG,2021
408,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,5,ORANG,2021
409,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,3,ORANG,2021
410,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,4,ORANG,2021
411,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1,ORANG,2021
412,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1,ORANG,2021
413,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,1,ORANG,2021
414,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,ORANG,2021
415,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,3,ORANG,2021
416,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,4,ORANG,2021
417,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,2,ORANG,2021
418,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1,ORANG,2021
419,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,3,ORANG,2021
420,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,10,ORANG,2021
421,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,0,ORANG,2021
422,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,0,ORANG,2021
423,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,4,ORANG,2021
424,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,7,ORANG,2021
425,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,0,ORANG,2021
426,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1,ORANG,2021
427,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,7,ORANG,2021
428,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,15,ORANG,2021
429,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,10,ORANG,2021
430,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,11,ORANG,2021
431,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,1,ORANG,2021
432,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,1,ORANG,2021
433,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,6,ORANG,2022
434,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8,ORANG,2022
435,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,3,ORANG,2022
436,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,4,ORANG,2022
437,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,4,ORANG,2022
438,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,4,ORANG,2022
439,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,25,ORANG,2022
440,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,23,ORANG,2022
